Metabolites,min_glc,max_glc,min_mets_glc,max_mets_glc,min_lacD,max_lacD,min_ac,max_ac,min_etoh,max_etoh
LC_fe3_c,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399
LC_for_c,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399
LC_fum_c,-13.8155105579643,-2.99573227355399,-10.2630237287559,-9.44227242932347,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399
LC_g1p_c,-13.8155105579643,-2.99573227355399,-11.3389721578468,-9.06797313068926,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399
LC_g3p_c,-13.8155105579643,-4.95373406038225,-12.9747129037488,-10.5317653303105,-12.8856399648255,-2.99573227355399,-12.8856399648255,-2.99573227355399,-12.8856399648255,-2.99573227355399
LC_g6p_c,-13.8155105579643,-2.99573227355399,-8.88319723064349,-8.40699439911816,-13.8155105579643,-3.8094607541466,-13.8155105579643,-3.8094607541466,-13.8155105579643,-3.8094607541466
LC_glc-D_c,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399
LC_gln-L_c,-13.8155105579643,-2.99573227355399,-8.27999806353942,-6.8788166272466,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399
LC_glu-L_c,-13.8155105579643,-2.99573227355399,-6.3547584085858,-5.2581355769152,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399
LC_glx_c,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399
LC_gly_c,-13.8155105579643,-2.99573227355399,-9.14268172350237,-7.65641516947234,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399
LC_glyc_c,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399
LC_glyc-R_c,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399
LC_glyc3p_c,-13.8155105579643,-2.99573227355399,-13.8155105579643,-4.28080930313098,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399
LC_glyclt_c,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399,-13.8155105579643,-2.99573227355399
